trades,start,end,net_pnl_total,CAGR,vol_annualized,Sharpe,MaxDD,hit_rate,z_enter,z_exit,z_stop,max_hold,latency_days,fee_bps,slippage_bps,notional,z_window,spread_scale
12,2023-12-18,2025-04-28,-73668.04012815349,0.0,5.389171841143188,-0.5334589243892264,-2.2455385748944336,0.0,3.0,0.5,4.0,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-61983.60199543364,-0.7999924357183663,0.613571899804618,-0.9334687340825092,-0.8880753903056259,0.0,3.0,0.5,4.0,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-21,2025-05-07,-92341.6924165742,0.0,14.259876186717074,0.7338969689267403,-4.532228607510845,0.0,3.0,0.5,4.0,15,1,1.0,1.0,250000.0,60,auto
12,2023-12-22,2025-05-08,-80873.4884924198,0.0,2.3183201159210145,-0.9338913831687532,-1.6166479840764665,0.0,3.0,0.5,4.0,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41243.73713390163,0.0,1.2516756106322202,-1.061053249561416,-1.1644630297153684,0.0769230769230769,3.0,0.5,4.5,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36343.3252267351,-0.723929561976588,0.5573505135007678,-1.1003549587969577,-0.8418134090681374,0.1538461538461538,3.0,0.5,4.5,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43925.96186329922,0.0,1.117783341447936,-1.1000168198383249,-1.1359297190288151,0.0833333333333333,3.0,0.5,4.5,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-36794.1978519851,-0.4675909838750135,0.3423399646000621,-1.0193973284169164,-0.5795784341505834,0.25,3.0,0.5,4.5,5,2,1.0,1.0,250000.0,60,auto
12,2023-12-18,2025-04-28,-73682.93686374427,0.0,5.436942114601742,-0.5364899870630535,-2.2464687502500555,0.0,3.0,0.5,4.5,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-61989.63676108858,-0.8003967810903012,0.6138448807382387,-0.933605255268944,-0.8883831695720377,0.0,3.0,0.5,4.5,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-21,2025-05-07,-92356.58915216498,0.0,14.158535716946131,0.7340175270508709,-4.533355900358363,0.0,3.0,0.5,4.5,15,1,1.0,1.0,250000.0,60,auto
12,2023-12-22,2025-05-08,-80879.52325807474,0.0,2.3207123173338373,-0.93379651526003,-1.6169808637105787,0.0,3.0,0.5,4.5,15,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-17,-20741.455157525845,0.0,4.233517948573612,0.5187047519391983,-1.711272188510793,0.1333333333333333,3.0,0.75,3.0,3,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-22,-24372.6763914909,0.0,1.7702287253709164,-0.2255116064537932,-1.383375014683735,0.2666666666666666,3.0,0.75,3.0,3,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-23,-37535.74810606839,0.0,2.1823871624788955,0.1699637877101885,-2.6965952313143213,0.1333333333333333,3.0,0.75,3.0,5,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-04-24,-31488.75014202741,0.0,1.5057320880191378,-1.1134031455062932,-1.1632496759887598,0.1333333333333333,3.0,0.75,3.0,5,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-04-30,-47323.26383238253,0.0,2.636682734473455,-0.4143407055076752,-2.147781512782678,0.1333333333333333,3.0,0.75,3.0,10,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-05-02,-28514.65146834377,-0.7007381852501433,0.5005404762303846,-1.2416442219750832,-0.8163017947311997,0.1333333333333333,3.0,0.75,3.0,10,2,1.0,1.0,250000.0,60,auto
15,2023-12-05,2025-05-07,-44693.02802089668,0.0,2.6163554716047153,-0.4134218800106014,-2.289937068960231,0.1333333333333333,3.0,0.75,3.0,15,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-05-08,-44801.81163727509,0.0,1.5874693401511777,-1.036594146891237,-1.250467774446456,0.1333333333333333,3.0,0.75,3.0,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41246.800209475856,0.0,1.252460957493322,-1.0609722127738397,-1.1646510949304516,0.0769230769230769,3.0,0.75,3.5,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36336.10608132914,-0.7234620853256122,0.5569307866556125,-1.1002199237436678,-0.8414555898952412,0.1538461538461538,3.0,0.75,3.5,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43726.35384376799,0.0,1.1298887926628696,-1.1024011275289982,-1.1388229974015496,0.0833333333333333,3.0,0.75,3.5,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-37495.557902213266,-0.5009169145365269,0.3635978251948261,-1.0451697793610313,-0.6150405092932952,0.25,3.0,0.75,3.5,5,2,1.0,1.0,250000.0,60,auto
12,2023-12-18,2025-04-28,-74728.54450711678,0.0,2.476208521788874,-0.1522881829401627,-2.566499795247958,0.0,3.0,0.75,3.5,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-63360.94722414736,-0.9485696067927468,0.7055761838527913,-0.9763181187236168,-0.9823663757630204,0.0,3.0,0.75,3.5,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-05-07,-91062.63767215789,0.0,87.78332696403479,-0.702217824900716,-3.3371839486080774,0.0,3.0,0.75,3.5,15,1,1.0,1.0,250000.0,60,auto
12,2023-12-20,2025-05-08,-82404.06791962332,0.0,6.300426783917011,-0.8354480167808718,-1.742108170642793,0.0,3.0,0.75,3.5,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41246.800209475856,0.0,1.252460957493322,-1.0609722127738397,-1.1646510949304516,0.0769230769230769,3.0,0.75,4.0,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36336.10608132914,-0.7234620853256122,0.5569307866556125,-1.1002199237436678,-0.8414555898952412,0.1538461538461538,3.0,0.75,4.0,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43726.35384376799,0.0,1.1298887926628696,-1.1024011275289982,-1.1388229974015496,0.0833333333333333,3.0,0.75,4.0,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-37495.557902213266,-0.5009169145365269,0.3635978251948261,-1.0451697793610313,-0.6150405092932952,0.25,3.0,0.75,4.0,5,2,1.0,1.0,250000.0,60,auto
12,2023-12-18,2025-04-28,-74728.54450711678,0.0,2.476208521788874,-0.1522881829401627,-2.566499795247958,0.0,3.0,0.75,4.0,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-63360.94722414736,-0.9485696067927468,0.7055761838527913,-0.9763181187236168,-0.9823663757630204,0.0,3.0,0.75,4.0,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-05-07,-91062.63767215789,0.0,87.78332696403479,-0.702217824900716,-3.3371839486080774,0.0,3.0,0.75,4.0,15,1,1.0,1.0,250000.0,60,auto
12,2023-12-20,2025-05-08,-82404.06791962332,0.0,6.300426783917011,-0.8354480167808718,-1.742108170642793,0.0,3.0,0.75,4.0,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41243.73713390163,0.0,1.2516756106322202,-1.061053249561416,-1.1644630297153684,0.0769230769230769,3.0,0.75,4.5,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36343.3252267351,-0.723929561976588,0.5573505135007678,-1.1003549587969577,-0.8418134090681374,0.1538461538461538,3.0,0.75,4.5,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43740.35438565679,0.0,1.1453368509008646,-1.1016959582415828,-1.1436861594154022,0.0833333333333333,3.0,0.75,4.5,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-37512.28043770978,-0.510215892427738,0.3683328877853677,-1.0578468631510798,-0.6213955538977981,0.25,3.0,0.75,4.5,5,2,1.0,1.0,250000.0,60,auto
12,2023-12-18,2025-04-28,-74743.44124270756,0.0,2.620758924848549,-0.2508578596003898,-2.5850749703107527,0.0,3.0,0.75,4.5,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-63366.9819898023,-0.9978464929097908,0.7247309209548393,-0.986227924361906,-0.9997649389889725,0.0,3.0,0.75,4.5,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-05-07,-91077.53440774868,0.0,24.527630714780777,0.7174288243788932,-3.352236303300982,0.0,3.0,0.75,4.5,15,1,1.0,1.0,250000.0,60,auto
