date,pair,spread_pct
2024-06-17 00:00:00+00:00,CSP1_L_IUSA_DE,90644.713
2024-06-18 00:00:00+00:00,CSP1_L_IUSA_DE,90733.193
2024-06-19 00:00:00+00:00,CSP1_L_IUSA_DE,90527.547
2024-06-20 00:00:00+00:00,CSP1_L_IUSA_DE,90700.963
2024-06-21 00:00:00+00:00,CSP1_L_IUSA_DE,90747.273
2024-06-24 00:00:00+00:00,CSP1_L_IUSA_DE,90687.272
2024-06-25 00:00:00+00:00,CSP1_L_IUSA_DE,90610.788
2024-06-26 00:00:00+00:00,CSP1_L_IUSA_DE,90763.995
2024-06-27 00:00:00+00:00,CSP1_L_IUSA_DE,90841.07
2024-06-28 00:00:00+00:00,CSP1_L_IUSA_DE,90949.731
2024-07-01 00:00:00+00:00,CSP1_L_IUSA_DE,90982.815
2024-07-02 00:00:00+00:00,CSP1_L_IUSA_DE,90809.096
2024-07-03 00:00:00+00:00,CSP1_L_IUSA_DE,90784.669
2024-07-04 00:00:00+00:00,CSP1_L_IUSA_DE,90840.537
2024-07-05 00:00:00+00:00,CSP1_L_IUSA_DE,90658.116
2024-07-08 00:00:00+00:00,CSP1_L_IUSA_DE,90593.693
2024-07-09 00:00:00+00:00,CSP1_L_IUSA_DE,90662.202
2024-07-10 00:00:00+00:00,CSP1_L_IUSA_DE,90389.824
2024-07-11 00:00:00+00:00,CSP1_L_IUSA_DE,90267.443
2024-07-12 00:00:00+00:00,CSP1_L_IUSA_DE,90081.485
2024-07-15 00:00:00+00:00,CSP1_L_IUSA_DE,90124.761
2024-07-16 00:00:00+00:00,CSP1_L_IUSA_DE,90069.86
2024-07-17 00:00:00+00:00,CSP1_L_IUSA_DE,90139.879
2024-07-18 00:00:00+00:00,CSP1_L_IUSA_DE,90197.792
2024-07-19 00:00:00+00:00,CSP1_L_IUSA_DE,90404.905
2024-07-22 00:00:00+00:00,CSP1_L_IUSA_DE,90371.631
2024-07-23 00:00:00+00:00,CSP1_L_IUSA_DE,90150.543
2024-07-24 00:00:00+00:00,CSP1_L_IUSA_DE,90076.767
2024-07-25 00:00:00+00:00,CSP1_L_IUSA_DE,90439.902
2024-07-26 00:00:00+00:00,CSP1_L_IUSA_DE,90599.347
2024-07-29 00:00:00+00:00,CSP1_L_IUSA_DE,90460.631
2024-07-30 00:00:00+00:00,CSP1_L_IUSA_DE,90410.887
2024-07-31 00:00:00+00:00,CSP1_L_IUSA_DE,90444.343
2024-08-01 00:00:00+00:00,CSP1_L_IUSA_DE,90669.804
2024-08-02 00:00:00+00:00,CSP1_L_IUSA_DE,91352.932
2024-08-05 00:00:00+00:00,CSP1_L_IUSA_DE,92097.529
2024-08-06 00:00:00+00:00,CSP1_L_IUSA_DE,92097.316
2024-08-07 00:00:00+00:00,CSP1_L_IUSA_DE,92125.773
2024-08-08 00:00:00+00:00,CSP1_L_IUSA_DE,91902.569
2024-08-09 00:00:00+00:00,CSP1_L_IUSA_DE,91753.094
2024-08-12 00:00:00+00:00,CSP1_L_IUSA_DE,91791.947
2024-08-13 00:00:00+00:00,CSP1_L_IUSA_DE,91558.035
2024-08-14 00:00:00+00:00,CSP1_L_IUSA_DE,91926.553
2024-08-15 00:00:00+00:00,CSP1_L_IUSA_DE,91591.194
2024-08-16 00:00:00+00:00,CSP1_L_IUSA_DE,91397.37
2024-08-19 00:00:00+00:00,CSP1_L_IUSA_DE,91406.429
2024-08-20 00:00:00+00:00,CSP1_L_IUSA_DE,91421.352
2024-08-21 00:00:00+00:00,CSP1_L_IUSA_DE,91411.773
2024-08-22 00:00:00+00:00,CSP1_L_IUSA_DE,91006.617
2024-08-23 00:00:00+00:00,CSP1_L_IUSA_DE,90785.074
2024-08-27 00:00:00+00:00,CSP1_L_IUSA_DE,90527.846
2024-08-28 00:00:00+00:00,CSP1_L_IUSA_DE,90381.127
2024-08-29 00:00:00+00:00,CSP1_L_IUSA_DE,90235.78
2024-08-30 00:00:00+00:00,CSP1_L_IUSA_DE,90298.213
2024-09-02 00:00:00+00:00,CSP1_L_IUSA_DE,90287.634
2024-09-03 00:00:00+00:00,CSP1_L_IUSA_DE,90340.592
2024-09-04 00:00:00+00:00,CSP1_L_IUSA_DE,90376.723
2024-09-05 00:00:00+00:00,CSP1_L_IUSA_DE,90303.453
2024-09-06 00:00:00+00:00,CSP1_L_IUSA_DE,90545.088
2024-09-09 00:00:00+00:00,CSP1_L_IUSA_DE,90449.68
2024-09-10 00:00:00+00:00,CSP1_L_IUSA_DE,90502.499
2024-09-11 00:00:00+00:00,CSP1_L_IUSA_DE,90692.301
2024-09-12 00:00:00+00:00,CSP1_L_IUSA_DE,90462.119
2024-09-13 00:00:00+00:00,CSP1_L_IUSA_DE,90383.753
2024-09-16 00:00:00+00:00,CSP1_L_IUSA_DE,90379.328
2024-09-17 00:00:00+00:00,CSP1_L_IUSA_DE,90562.985
2024-09-18 00:00:00+00:00,CSP1_L_IUSA_DE,90259.393
2024-09-19 00:00:00+00:00,CSP1_L_IUSA_DE,90043.893
2024-09-20 00:00:00+00:00,CSP1_L_IUSA_DE,90020.377
2024-09-23 00:00:00+00:00,CSP1_L_IUSA_DE,89436.32
2024-09-24 00:00:00+00:00,CSP1_L_IUSA_DE,89330.925
2024-09-25 00:00:00+00:00,CSP1_L_IUSA_DE,89529.19
2024-09-26 00:00:00+00:00,CSP1_L_IUSA_DE,89343.191
2024-09-27 00:00:00+00:00,CSP1_L_IUSA_DE,89350.862
2024-09-30 00:00:00+00:00,CSP1_L_IUSA_DE,89174.298
2024-10-01 00:00:00+00:00,CSP1_L_IUSA_DE,89265.943
2024-10-02 00:00:00+00:00,CSP1_L_IUSA_DE,89276.355
2024-10-03 00:00:00+00:00,CSP1_L_IUSA_DE,90022.42
2024-10-04 00:00:00+00:00,CSP1_L_IUSA_DE,89741.932
2024-10-07 00:00:00+00:00,CSP1_L_IUSA_DE,89988.873
2024-10-08 00:00:00+00:00,CSP1_L_IUSA_DE,89880.601
2024-10-09 00:00:00+00:00,CSP1_L_IUSA_DE,89773.703
2024-10-10 00:00:00+00:00,CSP1_L_IUSA_DE,89819.576
2024-10-11 00:00:00+00:00,CSP1_L_IUSA_DE,89834.187
2024-10-14 00:00:00+00:00,CSP1_L_IUSA_DE,89657.573
2024-10-15 00:00:00+00:00,CSP1_L_IUSA_DE,89286.319
2024-10-16 00:00:00+00:00,CSP1_L_IUSA_DE,89702.67
2024-10-17 00:00:00+00:00,CSP1_L_IUSA_DE,89303.237
2024-10-18 00:00:00+00:00,CSP1_L_IUSA_DE,89282.593
2024-10-21 00:00:00+00:00,CSP1_L_IUSA_DE,89386.053
2024-10-22 00:00:00+00:00,CSP1_L_IUSA_DE,89350.916
2024-10-23 00:00:00+00:00,CSP1_L_IUSA_DE,89297.637
2024-10-24 00:00:00+00:00,CSP1_L_IUSA_DE,89384.301
2024-10-25 00:00:00+00:00,CSP1_L_IUSA_DE,89379.975
2024-10-28 00:00:00+00:00,CSP1_L_IUSA_DE,89409.065
2024-10-29 00:00:00+00:00,CSP1_L_IUSA_DE,89130.963
2024-10-30 00:00:00+00:00,CSP1_L_IUSA_DE,89577.04
2024-10-31 00:00:00+00:00,CSP1_L_IUSA_DE,90426.175
2024-11-01 00:00:00+00:00,CSP1_L_IUSA_DE,89841.137
2024-11-04 00:00:00+00:00,CSP1_L_IUSA_DE,90141.593
2024-11-05 00:00:00+00:00,CSP1_L_IUSA_DE,89971.517
2024-11-06 00:00:00+00:00,CSP1_L_IUSA_DE,89266.869
2024-11-07 00:00:00+00:00,CSP1_L_IUSA_DE,89128.631
2024-11-08 00:00:00+00:00,CSP1_L_IUSA_DE,89056.659
2024-11-11 00:00:00+00:00,CSP1_L_IUSA_DE,88731.469
2024-11-12 00:00:00+00:00,CSP1_L_IUSA_DE,89253.944
2024-11-13 00:00:00+00:00,CSP1_L_IUSA_DE,89121.301
