date,pair,A_ticker,A_price,B_ticker,B_price,fx_used,curA,curB,denom
2014-11-09,IWDA_AS_XDWD_DE,IWDA.AS,33.334999084472656,XDWD.DE,36.59000015258789,1.0,EUR,EUR,B
2014-11-10,IWDA_AS_XDWD_DE,IWDA.AS,33.35499954223633,XDWD.DE,36.630001068115234,1.0,EUR,EUR,B
2014-11-11,IWDA_AS_XDWD_DE,IWDA.AS,33.185001373291016,XDWD.DE,36.5099983215332,1.0,EUR,EUR,B
2014-11-12,IWDA_AS_XDWD_DE,IWDA.AS,33.21500015258789,XDWD.DE,36.47999954223633,1.0,EUR,EUR,B
2014-11-13,IWDA_AS_XDWD_DE,IWDA.AS,33.20500183105469,XDWD.DE,36.52000045776367,1.0,EUR,EUR,B
2014-11-16,IWDA_AS_XDWD_DE,IWDA.AS,33.21500015258789,XDWD.DE,36.4900016784668,1.0,EUR,EUR,B
2014-11-17,IWDA_AS_XDWD_DE,IWDA.AS,33.314998626708984,XDWD.DE,36.58000183105469,1.0,EUR,EUR,B
2014-11-18,IWDA_AS_XDWD_DE,IWDA.AS,33.17499923706055,XDWD.DE,36.439998626708984,1.0,EUR,EUR,B
2014-11-19,IWDA_AS_XDWD_DE,IWDA.AS,33.275001525878906,XDWD.DE,36.54999923706055,1.0,EUR,EUR,B
2014-11-20,IWDA_AS_XDWD_DE,IWDA.AS,33.904998779296875,XDWD.DE,37.2400016784668,1.0,EUR,EUR,B
2014-11-23,IWDA_AS_XDWD_DE,IWDA.AS,33.81999969482422,XDWD.DE,37.150001525878906,1.0,EUR,EUR,B
2014-11-24,IWDA_AS_XDWD_DE,IWDA.AS,33.76499938964844,XDWD.DE,37.099998474121094,1.0,EUR,EUR,B
2014-11-25,IWDA_AS_XDWD_DE,IWDA.AS,33.7400016784668,XDWD.DE,37.060001373291016,1.0,EUR,EUR,B
2014-11-26,IWDA_AS_XDWD_DE,IWDA.AS,33.81999969482422,XDWD.DE,37.119998931884766,1.0,EUR,EUR,B
2014-11-27,IWDA_AS_XDWD_DE,IWDA.AS,33.849998474121094,XDWD.DE,37.220001220703125,1.0,EUR,EUR,B
2014-11-30,IWDA_AS_XDWD_DE,IWDA.AS,33.5,XDWD.DE,36.84000015258789,1.0,EUR,EUR,B
